step,processed_tokens,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_second,elapsed_time,cpu_memory
500,512000,2.7304,2.7568,15.75,0.000500,807.6,719.2,560.8
1000,1024000,0.9299,1.0741,2.93,0.000600,845.8,1513.9,392.5
1465,1500160,0.3743,0.7570,2.13,0.000599,874.1,2121.2,419.7
1500,1536000,0.3932,0.7795,2.18,0.000599,819.9,2215.9,358.6
2000,2048000,0.2870,0.7751,2.17,0.000598,581.7,2970.5,263.1
2500,2560000,0.2124,0.7454,2.11,0.000597,881.0,3815.2,283.5
2930,3000320,0.1926,0.7722,2.16,0.000595,842.4,4395.8,334.2
3000,3072000,0.2062,0.7857,2.19,0.000595,914.5,4527.3,269.4
3500,3584000,0.1853,0.7891,2.20,0.000592,867.0,5166.6,285.4
4000,4096000,0.1704,0.8009,2.23,0.000590,919.7,5797.5,258.8
4500,4608000,0.1675,0.8261,2.28,0.000586,867.9,6422.2,258.9
4883,5000192,0.1670,0.8143,2.26,0.000584,877.8,6918.1,363.7
5000,5120000,0.1630,0.7703,2.16,0.000583,880.2,7103.3,261.5
5500,5632000,0.1580,0.8052,2.24,0.000579,751.9,7745.7,246.8
6000,6144000,0.1636,0.7895,2.20,0.000574,873.0,8454.9,283.8
6500,6656000,0.1537,0.7874,2.20,0.000569,840.8,9148.3,267.9
7000,7168000,0.1597,0.7917,2.21,0.000564,847.5,9798.5,266.3
7324,7499776,0.1515,0.8242,2.28,0.000560,882.5,10235.3,267.4
7500,7680000,0.1506,0.7868,2.20,0.000558,859.1,10491.3,253.8
8000,8192000,0.1576,0.7984,2.22,0.000552,870.1,11121.0,245.5
8500,8704000,0.1581,0.8019,2.23,0.000546,839.3,11806.8,283.6
9000,9216000,0.1554,0.8328,2.30,0.000539,874.8,12436.0,267.4
9500,9728000,0.1526,0.8145,2.26,0.000532,864.0,13080.6,283.8
9766,10000384,0.1451,0.8186,2.27,0.000528,851.8,13444.7,363.7
